date,amount,net,note
1/2/2024,300,0,"Over nite with Old Sun 1/1-1/2. Mom gains 300, Old Sun lost couple hundreds"
1/4/2024,-500,-200,
1/6/2024,300,100,
1/9/2024,600,700,
1/13/2024,1400,2100,2 days 1100 + 300
1/16/2024,-100,2000,
1/20/2024,500,2500,"Friday + 700, Sat -200"
1/23/2024,100,2600,
1/27/2024,300,2900,
1/30/2024,300,3200,Mom start clean the stove for new year
2/3/2024,0,3200,"Win 500 on Friday, and lost again on Sat"
2/6/2024,300,3500,
2/8/2024,-300,3200,
2/10/2024,0,3200,2000
2/14/2024,800,4000,"Snow day, Mon-wed (7am)"
2/17/2024,300,4300,
2/20/2024,1000,5300,Win 2 (50 to 1)
2/24/2024,1100,6400,
2/25/2024,400,6800,Cruise day 1. On the sea
2/26/2024,-300,6500,"-500, even, and finally -300. Bahama"
2/27/2024,400,6900,Cruise day 3 ocean cay
2/28/2024,100,7000,Cruise day 4
2/29/2024,200,7200,Cruise day 5
3/1/2024,300,7600,"Cruise day 6, dad keeps 500, mom 300 and then -500"
3/2/2024,-100,7500,"Cruise day 7, cat wins 66 at slot machine with the points in the card"
3/5/2024,300,7800,
3/9/2024,300,8100,
3/11/2024,300,8400,
3/17/2024,-600,7800,Continue play Fri+Sat+Sun(100 visa card)
3/19/2024,400,8200,
3/23/2024,700,8900,
3/26/2024,600,9500,
3/28/2024,1000,10500,
3/30/2024,-400,10100,
4/2/2024,0,10100,
4/6/2024,-600,9500,
4/9/2024,200,9700,
4/13/2024,600,10300,
4/16/2024,300,10600,
4/21/2024,800,11400,The whole family stay at Wind Creek during the weekend
4/23/2024,200,11600,"Lost 700 first, and then win back"
4/27/2024,-600,11000,
4/30/2024,0,11000,
5/4/2024,500,11500,
5/7/2024,500,12000,
5/9/2024,-500,11500,
5/11/2024,300,11800,
5/14/2024,100,11900,
5/18/2024,400,12300,
5/20/2024,100,12400,
5/25/2024,1100,13500,
5/28/2024,400,13900,"Mom cuts the finger, and much blood"
6/1/2024,-700,13200,
6/8/2024,600,13800,
6/11/2024,-200,13600,
6/15/2024,200,13800,
6/18/2024,0,13800,
6/22/2024,1200,15000,
7/6/2024,0,15000,"Give us 3k for Toronto Trip, might deduct the end of the year"
7/9/2024,-100,14900,
7/21/2024,300,15200,
7/27/2024,300,15500,
7/30/2024,200,15700,
8/3/2024,200,15900,
8/10/2024,1500,17400,
8/13/2024,200,17600,
8/15/2024,0,17600,
8/18/2024,200,17800,"Lose on Sat, won on sun"
8/20/2024,600,18400,
8/27/2024,600,19000,
8/31/2024,-400,18600,
9/2/2024,-600,18000,
9/7/2024,700,18700,
9/17/2024,300,19000,
9/21/2024,400,19400,
9/24/2024,-300,19100,
9/30/2024,100,19200,
10/2/2024,300,19500,
10/5/2024,600,20100,
10/12/2024,1200,21300,37 xiang (305)
10/19/2024,-700,20600,
10/22/2024,600,21100,500 is from the mistake of supervisor
11/2/2024,500,21600,
11/5/2024,-200,21400,
11/16/2024,-300,21100,"Give us 2k for Tesla charger, might deduct the end of the year"
11/23/2024,1000,22100,
11/26/2024,-500,21600,
12/1/2024,500,22100,
12/3/2024,500,22600,
12/10/2024,200,22800,
12/14/2024,-600,22200,
12/17/2024,200,22400,
12/21/2024,-300,22100,
12/25/2024,1600,23700,2 days from x'mas eve to x'mas day
12/28/2024,-400,23300,
